k,inertia,silhouette,avg_cluster_size,small_clusters,small_cluster_ratio,min_cluster_size,max_cluster_size,inertia_scaled,silhouette_scaled,balance_score,interpretability_score,elbow_curvature,elbow_scaled,selection_score
32,916.6639882576027,0.09315168491966651,240.96875,3,0.09375,44,783,0.6476784292355345,0.6460810310606298,0.90625,0.3935416666666667,0.0174298192127591,0.9389345470380372,0.7334472991837612
33,901.3417805557802,0.0944059255093808,233.66666666666666,2,0.06060606060606061,44,661,0.6722475028634285,0.6596460665340286,0.9393939393939394,0.4422222222222223,0.0131905329301788,0.7105665819483402,0.6957121933128178
34,894.245690302052,0.09374858272345812,226.7941176470588,2,0.058823529411764705,44,646,0.6836260435611436,0.6525366823518,0.9411764705882353,0.4880392156862746,0.00421176546106572,0.22688543393045277,0.5791772078939215
35,889.7762169962474,0.09097602769865032,220.31428571428572,2,0.05714285714285714,44,715,0.6907928187977931,0.6225505636024178,0.9428571428571428,0.5312380952380953,0.004233021497495826,0.22803048464461714,0.5742849894592642
36,887.9466167102083,0.09678777358344351,214.19444444444446,1,0.027777777777777776,44,508,0.6937265725369467,0.6854065576884946,0.9722222222222222,0.5720370370370369,0.013462041036567896,0.7251925707654238,0.7357107657667538
37,877.7215762062456,0.09327080692170102,208.40540540540542,2,0.05405405405405406,44,748,0.7101223673126682,0.6473693757343008,0.9459459459459459,0.6106306306306306,0.010174074123264099,0.5480716444531731,0.6767494451907974
38,873.8414748420884,0.1030357791523517,202.92105263157896,1,0.02631578947368421,44,735,0.7163440879651256,0.7529808475618107,0.9736842105263158,0.6471929824561402,0.009134624043763973,0.49207705393844986,0.716027391983021
39,864.2646748967641,0.09844481295396898,197.71794871794873,2,0.05128205128205128,44,630,0.731700432661347,0.7033279979817931,0.9487179487179487,0.6818803418803419,0.008417171873940865,0.45342830951537555,0.6867139175972021
40,859.9371431032531,0.09999934852734615,192.775,2,0.05,35,520,0.7386396054836275,0.7201408250984194,0.95,0.7148333333333333,0.0019237172456398888,0.10362956486329643,0.6111887212551919
41,856.809314466796,0.10081158355846159,188.0731707317073,2,0.04878048780487805,44,540,0.7436550610602681,0.7289254212119353,0.9512195121951219,0.746178861788618,0.011431723674888317,0.6158205176728369,0.7476960296103004
42,846.5522286516059,0.10486858635649562,183.5952380952381,2,0.047619047619047616,27,659,0.7601022403117971,0.7728032763238847,0.9523809523809523,0.776031746031746,0.012973772045902665,0.6988897951607647,0.7907247117006975
43,844.3860799622556,0.10293440737306882,179.32558139534885,1,0.023255813953488372,44,563,0.7635756475174234,0.7518844775405797,0.9767441860465116,0.8044961240310077,0.010084744775116783,0.5432595227658463,0.7525919275216469
44,835.9307013082569,0.10395410228255175,175.25,0,0.0,44,483,0.7771337994981664,0.7629128222876836,1.0,0.8316666666666667,0.0031545742966458956,0.16993514116031846,0.6723989142051531
45,829.4426350289974,0.1060968179628963,171.35555555555555,0,0.0,44,465,0.7875373771822636,0.7860870158607864,1.0,0.8576296296296296,0.0025942094949600314,0.1397486048099114,0.6780164019912369
46,821.3367211537794,0.10975806729335975,167.6304347826087,0,0.0,44,428,0.8005351643613208,0.8256846635943904,1.0,0.8824637681159421,0.008247123648022825,0.4442679073317374,0.7737104074880818
47,818.3740268965022,0.10616350698101512,164.06382978723406,0,0.0,44,393,0.8052858278923551,0.7868082801093578,1.0,0.9062411347517729,0.0016582442795177732,0.08932868565427707,0.6729916536700784
48,814.3771885092533,0.10585651890850556,160.64583333333334,0,0.0,44,485,0.8116947357029073,0.7834881004503251,1.0,0.9290277777777777,0.0005560944524392042,0.029956495040932587,0.66023853060703
49,810.0335484952458,0.10699364392229944,157.3673469387755,0,0.0,44,473,0.8186597379658986,0.7957864914259488,1.0,0.9508843537414966,0.0002424645818160931,0.013061430501448252,0.6642126072569661
